Iteration	Training error	Validating error	Performance
200	0,959052	1,070770	0,000000
400	0,876668	1,077388	0,012698
600	0,887307	1,091533	0,028571
800	0,917898	1,059936	0,031746
1000	0,852505	1,035430	0,015873
1200	0,904064	1,052974	0,015873
1400	0,872390	1,042413	0,006349
1600	0,862372	1,038005	0,000000
1800	0,926856	1,054994	0,009524
2000	0,855170	1,034533	0,015873
2200	0,863189	1,046297	0,015873
2400	0,921133	1,029347	0,000000
2600	0,844829	1,040540	0,012698
2800	0,887124	1,032785	0,000000
3000	0,882280	1,048221	0,003175
3200	0,853215	1,024488	0,012698
3400	0,906086	1,029604	0,003175
3600	0,859896	1,027821	0,019048
3800	0,862509	1,028548	0,019048
4000	0,921886	1,043999	0,000000
4200	0,851408	1,023193	0,003175
4400	0,872737	1,040152	0,031746
4600	0,906414	1,029120	0,003175
4800	0,846194	1,027676	0,015873
5000	0,896417	1,031160	0,000000
5200	0,871519	1,048647	0,003175
5400	0,859162	1,022971	0,019048
5600	0,909211	1,028335	0,015873
5800	0,853317	1,026916	0,019048
6000	0,867011	1,025832	0,019048
6200	0,913923	1,035563	0,003175
6400	0,849527	1,026542	0,015873
6600	0,878449	1,031986	0,019048
6800	0,893460	1,023780	0,015873
7000	0,847535	1,024391	0,015873
7200	0,898929	1,030636	0,000000
7400	0,863631	1,034373	0,025397
7600	0,861838	1,020105	0,019048
7800	0,907074	1,026147	0,012698
8000	0,851058	1,020719	0,022222
8200	0,868761	1,025906	0,019048
8400	0,906037	1,024618	0,003175
8600	0,847494	1,025916	0,015873
8800	0,881689	1,036559	0,028571
9000	0,883808	1,021204	0,003175
9200	0,848003	1,023950	0,015873
9400	0,899090	1,019353	0,000000
9600	0,858583	1,022182	0,025397
9800	0,862713	1,018786	0,019048
10000	0,904647	1,017976	0,009524
